Type of hardware,Model,Submodel,cluster_id
headp,bos,Noise Can3elling,1060
Heldphones,  ,NoiseCancelling,1061
Headphonnes,Wireeless,son,1062
he,Bose QuietComfort 45,Wrlss,1063
he,BoseQuietComfort45,Wrlss,1063
Wrlss,,Bose QuiejComfort 45,1063
He%dphones,AirPods3Max,Noise Cancelling,1064
He#dphones over,8a9_AirPods Max,,1064
He%dphones,AirPods Max-98b,NoiseCancelling,1064
He%dphones,studio,AirPods Max,1064
Heanphones Noise Canc0lling,Snnhsr HD 600,,1065
he,Snnhsr HD 600,Noise Cancelliing,1065
Headpsones,Snnhsr HD 600,a01_Noise Cancelling,1065
Snnhsr HD 600,Headphonnes,NoiseCancelling,1065
,Snnhsr HD 600,Noise Cance&ling,1065
Headphones,Snnhsr HD 600,Noise Clncelling,1065
Hdphns,Snnhsr HD 600,Noise Cancelling-c40,1065
Headdphones,Snnhsr HD 600,Noise Canmelling,1065
Headphonzs,Sejnheiser HD 600 NoiseCancelling,,1065
Headphones Snnhsr HD 600,,noise,1065
Snnhsr HD 600,hEADPHONES,NoiseCancelling,1065
0,Snnhsr HD 600,Noise Cancelling,1065
,Snnhsr HD 600,Noise Cancelling,1065
hEADPHONES,NoiseCancelling,Snnhsr HD 600,1065
hea nOISE cANCELLING,Snnhsr HD 600,,1065
  ,Snnhsr HD 600,Noise Cancelling,1065
unknown,Snnhsr HD 600,NoiseCancelling,1065
Headphones,Snnhsr HD 600,noise,1065
Headphones,Snnhsr HD 600,NoiseCancelling,1065
Headphones,Snnhsr HD 600,Noise Canielling,1065
Headphon1s,Snnhsr HD 600,NoiseCancelling,1065
headp,Snnhsr HD 600,NoiseCancelling,1065
nOISE cANCELLING,Hdphns,Snnhsr HD 600,1065
Headphoces,&irPods Max stu,,1066
ay4_Headphones,se,WWireless,1067
Headphjnes,ai,Noise Canncelling,1068
Headphjnes,  ,noise,1068
Headphones-24y,AbrPods Max,Noise Canceelling,1069
Headphones-3ba,bo,Noise Cannelling,1069
Headkhones,Wrlss,senn,1070
Hcadphones,son,Wireless-499,1071
Hcadphones,bos,Wireleys,1072
Headphones,???,Over-2ar,1073
hEADPHONES,AirPodsMax,Wirel!ss,1074
Headphones,aIRpODS mAX,Wirel*ss,1074
Headphones-abz,Senn$eiser HD 600,4xc_Over-Ear,1075
,Senn$eiser HD 600,Noise Canncelling Headphones,1075
Headphonef,Senn!eiser HD 600,Over-Ear-x7x,1075
Headphones,Senn$eiser HD 600,Studio,1075
Headphones,Senn!eiser HD 600,Over-Eav,1075
Hekdphones,Wireleys,sen,1076
,,Noise Cancelling Headphozes,1077
Hdadphones,???,Ns Cncllng,1078
headp,AirPodds Max,Wirelems,1079
head,AirPodds Max,,1079
7ose QuietComfort 45,Hdphns,Ovvr-Ear,1080
Headphones,,Over-Ead,1081
Headphones,  ,Over-Eaz,1081
Headphones,se,Over-Ea8,1081
hEADPHONES,son,Over-Ea8,1081
Headphones-8z4,0,Over-Eai,1081
,Over-Eac,946_Headphones,1081
wir,ai,Headphones-72a,1082
Head8hones,  ,09y_Wireless,1083
Headfhones,son,wIRELESS,1083
Wireless,,Head2hones,1083
Hdadphones,air,Wfreless,1084
head,Snnhsr HD 600,Wireless,1085
Headphenes,Sennheimer HD 600,Wireless,1085
Headphunes,,Wireless-a01 Snnhsr HD 600,1085
headp,Sennhaiser HD 600,Wireless,1085
head,Snnhsr HD 600,Wireless,1085
Headphoones,air,eireless,1086
Hmadphones,Soony WH-1000XM5,Ns Cncllng,1087
Heatphones,Bs QtCmfrt 45,over,1088
5ennheiser HD 600,Hpadphones,Stuudio,1089
Htadphones,unknown,Wireless,1090
headp,Snnhsr HD 600,sTUDIO,1091
Studio,headp,pennheiser HD 600,1091
Headpyones,Snnhsr HD 600,2z5_Studio,1091
sTUDIO,head,Senjheiser HD 600,1091
Headpzones,,Wireless,1092
Headp@ones,sennh,Std,1093
Ns Cncllng,Hqadphones,AirPods Max,1094
hEADPHONES Ns Cncllng,044_AirPods Max,,1094
Headphones-b8b,AirPods Max,Ns Cncllng,1094
Ns Cncllng,AirPod@ Max,Headpsones,1094
Headph^nes,AirPods Max,Ns Cncllng,1094
Headphones,aIRpODS mAX,Ns Cncllng,1094
Heagphones,x16_AirPods Max,Ns Cncllng,1094
AirPods Max-492,Headphoneq,Ns Cncllng,1094
Headpphones,95x_AirPods Max,Ns Cncllng,1094
,AirPodsMax,Ns Cncllng,1094
Headphones-967 AirPods Max,,Ns Cncllng,1094
hEADPHONES,AirPods Max-x90,Ns Cncllng,1094
Ns Cncllng,Hdphns,AirPodsMax,1094
Headphones,AirPods Max,Ns Cncllng,1094
Headphones,aIRpODS mAX,Ns Cncllng,1094
AirPods Max,  ,Ns Cncllng,1094
Headphones,AirPodss Max,Ns Cncllng,1094
Headp@ones,aIRpODS mAX,Ns Cncllng,1094
Headpkones,AirPods Max-0a6,Ns Cncllng,1094
Headphonrs,AirPods 7ax Ns Cncllng,,1094
Headphon7s,AirPodsMax,Ns Cncllng,1094
hEADPHONES,AirPodds Max,Ns Cncllng,1094
Hxadphones,AirPodsMax,Ns Cncllng,1094
Headphones,AirPodsMax,Ns Cncllng,1094
Headpphones,AirPodsMax,Ns Cncllng,1094
1x0_Headphones,SSony WH-1000XM5,0,1095
Headphones,SSony WH-1000XM5,2a1_Over-Ear,1095
Headphoney,2ony WH-1000XM5,Wireless,1095
He1dphones,sennh,NNoise Cancelling,1096
Heldphones,Bose QuietComfort 45-116,Wireless,1097
Heldphones,Bose QuietComfyrt 45,Std,1097
unknown,Sennweiser HD 600,kver-Ear,1098
Headphones,nony WH-1000XM5,Wir%less,1099
hEADPHONES,Sony WH-1000X55,Wir%less,1099
hea,AirPodsMax,Wireless,1100
Heasphones,AirPodsMax,st,1100
Heafphones,AirPods Max,Wireless,1100
aIRpODS mAX,Wireless,hea,1100
He#dphones,AirPodsMax,Wireless,1100
aIRpODS mAX,hea,0,1100
Hea6phones,AirPodsMax,---,1100
Hezdphones,AirPods Max,Wrlss,1100
hea,AirPodsMax,ove,1100
hea,aIRpODS mAX,Studio,1100
hea,AirPods Max-5b4,Wireless,1100
he Wireless,AirPods Max,,1100
hea,AirPods Maxx,,1100
he,AirPodsMax,Wireless-2ba,1100
Heayphones,AirPodsMax,wi,1100
hea,AirPodsMax,wIRELESS,1100
He6dphones,AirPods Max-5cb,Wireljss,1100
309_AirPods Max,unknown,hea,1100
hea,aIRpODS mAX,Studip,1100
AirPods Max-72y,hea,Wireless,1100
hea,airPods Max,Wrlss,1100
hea,AirPodsMax,Wireless,1100
he,aIRpODS mAX,8tudio,1100
he,AirPods Max,wi,1100
hea,AirPods Max,W5reless,1100
Heaadphones,AirPodsMax,Wirsless,1100
hea,x96_AirPods Max,ove,1100
2tudio,he,AirPodsMax,1100
,hea,AirPods Max,1100
hea,AirPods Max-xyb,Wcreless,1100
hea Wireless,Airpods Max,,1100
he,AirPods Max,Wireless,1100
???,AirPods Max-330,Hea#phones,1100
hea,aIRpODS mAX,Studi3,1100
Heayphones,aIRpODS mAX,8z2_Wireless,1100
no,hea,AirPodsjMax,1100
Heabphones,AirPods Max,over-,1100
Heabphones,aIRpODS mAX,nois,1100
hea,AirPods Max-x12,Studiz,1100
he,AirPods Max,no,1100
hea,AirPods Max,,1100
he,AirPods Ma#,Wirele@s,1100
he,AirPods Max,Wirele6s,1100
Heamphones,AirPods Max,Wirelesx,1100
Heafphones,AirPods Max,Over-Eaar,1100
He&dphones,AirPods Ma!,Wireless,1100
he,AirPods Max,,1100
hea,AirPods Max,Studio,1100
hea,aIRpODS mAX,ove,1100
he,AirPods Max-2c7,Over-Eaar,1100
Hea^phones,10a_AirPods Max,  ,1100
AirPods Max,hea,Std,1100
hea,b18_AirPods Max,Studio-834,1100
he,aIRpODS mAX,wIRELESS,1100
hea,AirPods Max-880,Wireleess,1100
he,AirPodsMax,Wireless,1100
Airhods Max,Hdphns,Noise Cancelling,1101
Hdphns,AirPfds Max,NoisepCancelling,1101
0,sony ,oVER-eAR,1102
hea,sony,Over-Ear,1102
???,sony,4zb_Over-Ear,1102
he,sony,Over-Ear,1102
hea,Sny WH-1000XM5,Noisee Cancelling,1103
head,Sosy WH-1000XM5,Noise Cancelling,1103
???,Son% WH-1000XM5,Noise Cancellinng,1103
hea,Son2 WH-1000XM5,Noise Cancelling,1103
0,Sny WH-1000XM5,Noise Cancelli%g,1103
Sny WH-1000XM5,#REF!,Noise Cancelling-180,1103
hea,Sonp WH-1000XM5,nOISE cANCELLING,1103
unknown,nOISE cANCELLING,Soni WH-1000XM5,1103
---,Sny WH-1000XM5,Noise Cancelling,1103
Headpiones,Sny WH-1000XM5,nOISE cANCELLING,1103
hea,Sny WH-1000XM5,Noise Cancelling,1103
Headph5nes,S9ny WH-1000XM5,Noise Cancelling,1103
Hladphones,son,,1104
x8b_Headphones,unknown,NoiseCancelling,1105
y99_Headphones,0,NoiseCancelling,1105
Headphoneu,AirPoods Max,???,1106
hEADPHONES,AirPoods Max,Wireless,1106
hEADPHONES,Air*ods Max ov,,1106
Hbadphones,AirPoods Max,over,1106
Headphones,AirPoods Max,Over-Ear,1106
hEADPHONES over-,AirPmds Max,,1106
Headphones,AirPodds Max,ov,1106
AirPoods Max,Headphones,---,1106
Headphones,AirPoods Max,Wrlss,1106
Headphones-7yc,AirPoods Max,st,1106
a73_Headphones oVER-eAR,Air$ods Max,,1106
wir,  ,Headphones-150,1107
Headphones son,,wIRELESS,1107
bo,Wireless,Headphones,1107
Wireless,,Headphones,1107
hEADPHONES,,wi so,1107
hEADPHONES,---,wi,1107
Headphonez,,wIRELESS,1107
Headphones,0,Wireless,1107
head,son,Wirelesss,1107
Headphones,,Wireless,1107
hEADPHONES,,wIRELESS,1107
Headphones,son,wIRELESS,1107
Wir5less,Headphones,---,1107
Headphones-6xc,,42y_Wireless,1107
---,Headphones,Wireless,1107
son,Headphones,Wireless,1107
Headphones,,wir,1107
Headphones,bo,wIRELESS,1107
Headphones-8z1,bos,Wireless-203,1107
Headphones,bo,Wireless,1107
Headphones-996,,wIRELESS,1107
hEADPHONES,,Wireless,1107
Headphones-b79,,Wireless,1107
HHeadphones,,wIRELESS,1107
hEADPHONES,bos,Wireless,1107
Headphones,???,574_Wireless,1107
2xb_Wireless,hEADPHONES,so,1107
Headphones,,wIRELESS,1107
Headphones,son,Wireless-a84,1107
Headphones,bos,Wireless,1107
Headphones,so,a00_Wireless,1107
Headphonel,,wi,1107
Headphones,bo,Wireless-34b,1107
hEADPHONES,son,wIRELESS,1107
Headphonep,unknown,Wireless,1107
Headphones,,Wireless,1107
,Wireless,Headphones,1107
Headphones,bos,Wireless,1107
hEADPHONES,bos,wIRELESS,1107
,Wireless,hEADPHONES,1107
hEADPHONES,,Wireless,1107
Headphones,  ,wIRELESS,1107
hEADPHONES,0,Wireless-yz9,1107
Headphones,so,Wireless,1107
se,Wireless,Headphones,1107
cy2_Headphones,,wIRELESS,1107
hEADPHONES,???,wi,1107
bo,hEADPHONES,Wireless,1107
Headphones-b99,Wireless,0,1107
Wireless,son,867_Headphones,1107
Headphonees,,Wireless,1107
Headphones,,Wireless,1107
hEADPHONES,0,Wireless,1107
hEADPHONES,,Wireless,1107
Headphones-b49,  ,Wireless,1107
wi,---,Headphones-ya2,1107
Headphone#,  ,Wireless,1107
Headphones,son,06x_Wireless,1107
hEADPHONES,,Wireless,1107
hEADPHONES,  ,wIRELESS,1107
hEADPHONES,,Wireless,1107
Headphones-8yc,son,Wireless,1107
Headphones,,Wirelesss,1107
Headphones,son,wIRELESS,1107
wIRELESS,Headphones,son,1107
Headphoness,---,Wireless-238,1107
hEADPHONES,bo,0az_Wireless,1107
Headphones,son,Wireless,1107
Heaadphones,sony,vr-r,1108
Heaadphones,sony ,Wirel3ss,1108
Heawphones,sony,Studiio,1108
Headphon^s Noise Cancellinng,ai,,1109
Hfadphones,AirPPods Max,cay_Noise Cancelling,1110
Headphonqs,unknown,5z1_Wireless,1111
yyc_Wireless,unknown,Headphonnes,1111
Htadphones,rPds Mx,Studio,1112
unknown,aIRpODS mAX,Over-Esr,1113
unknown,774_AirPods Max,Over-Eir,1113
Huadphones,Senhheiser HD 600,Studdio,1114
Huadphones,Sennheiser%HD 600,,1114
Sony WH-1000XM5,Noise 0ancelling,head,1115
Head^hones,Sony  WH-1000XM5,noise,1115
Headphozes,Sony WH-10000XM5,Noise xancelling,1115
Headph^nes,sony,Noise Cancelling,1115
head,sony ,NoiseCancelling,1115
SonyWH-1000XM5,Headp4ones,Noise Cance$ling,1115
Noise Canncelling,headp,SonyWH-1000XM5,1115
head,sony,Noise Caancelling,1115
head,sony ,Noise C%ncelling,1115
Heasphones,0,noi,1116
Headphones-z53,Wrlss,,1117
Headphones-z57,sennh,unknown,1117
unknown,AirPo1s Max,Over-Ear-742,1118
AixPods Max,Headphones,unknown,1119
Headphones,AixPods Max,noi,1119
Headphoones,Snnhsr HD 600,Wireeless,1120
,airpo,Over--Ear,1121
he,airpo,oVER-eAR,1121
hea,airpo,Over-Ear,1121
---,oVER-eAR,airpo,1121
geadphones bos,Wireless-bb0,,1122
He6dphones,Snnhsr HD 600,WWireless,1123
Hea2phones,bos,stud,1124
Headphanes,ai,Ns Cncllng,1125
meadphones,S$ny WH-1000XM5,no,1126
beadphones,BoseQuietComfort45,Sttdio,1127
,BoseQuietComfort45,St2dio,1127
Headphones c77_Bose QuietComfort 45,,Studi%,1128
Heldphones,Sennhesser HD 600,wi,1129
cz4_Headphones,AirPozs Max,wi,1130
Headphonas,Szny WH-1000XM5,Wileless,1131
64a_Headphones,son,Over-!ar,1132
90z_Headphones,firPods Max,Wireless,1133
headp,$irPods Max wIRELESS,,1133
Heatphones,AirPohs Max,Wireless,1134
Wirelless,Suny WH-1000XM5,hEADPHONES,1135
H4adphones,So5y WH-1000XM5,Wirreless,1136
HHeadphones,S4ny WH-1000XM5,unknown,1136
Wrlss,Headphones,A6rPods Max,1137
Headphones,A4rPods Max,wirel,1137
Headphbnes,AirPodu Max,oVER-eAR,1138
Headuhones,iirPods Max,Noise mancelling,1139
,bose,Ns Cncllng,1140
0,bose,Ns Cncllng,1140
Headphones,AirPods Max,#REF!,1141
#REF!,AirPods Max,Over-Ea2,1141
AirPodsMax,Hdphns,#REF!,1141
#REF!,AirPodsMax,,1141
#REF!,AirPodsMax,qver-Ear,1141
Headphones,aIRpODS mAX,#REF!,1141
Hea*phones,AirPodsMax,#REF!,1141
AirPods Max,Headphhones,#REF!,1141
#REF!,AirPods Max-6z2,oVER-eAR,1141
#REF!,AirPodss Max,Noise Cancel3ing,1141
sen nireless,x1c_Headphones,,1142
Headpoones,se,NoiseCancelling,1143
Headpoones,tose QuietComfort 45,oVER-eAR,1143
beadphones,Noise Cancellgng,AirPods 1ax,1144
beadphones,aIRpODS mAX,649_Over-Ear,1144
,AirPodsMax,beadphones,1144
b44_Over-Ear,hea,Bs QtCmfrt 45,1145
,Bs QtCmfrt 45,O6er-Ear headp,1145
Heaadphones,Bs QtCmfrt 45,Over-Ear-a2z,1145
headp,Bs QtCmfrt 45,Over-Earr,1145
---,Bs QtCmfrt 45,Over-Ear,1145
Bs QtCmfrt 45,he,Over-Ear,1145
Bs QtCmfrt 45,Over-Ear,,1145
Hea9phones,Bs QtCmfrt 45,5a4_Over-Ear,1145
headp,Bs QtCmfrt 45,Over-Ear-bza,1145
X55,297_Cisco ISR,rout,1146
Routeer,a6b_Cisco ISR,X55,1146
rOUTER,cISCO isr,X55,1146
Router-x49,Cisco ISR,,1146
Cisco ISR,X55,Router,1146
Cisco ISR,ro,X55,1146
Cisco ISR,X55,Router,1146
Router,cISCO isr,X55,1146
rOUTER,X55,Cisco ISp,1146
cISCO isr,rou,X55,1146
Router,,X55 Cisco ISR,1146
Cisco ISR-c96,Routerr,X55,1146
Router,b71_Cisco ISR,X55,1146
Router,Ciscoo ISR,X55,1146
Roouter X55,cISCO isr,,1146
rOUTER,Cisco ISRR,X55,1146
Router,cISCO isr,Aw55,1146
,CiscoISR,X55 Rojter,1146
Rou3er,Cisco ISR,X55,1146
Roouter,Cisco  ISR,X55,1146
X55,Cisco ISR,Rouler,1146
,700_Cisco ISR,X55 rOUTER,1146
X55,???,cISCO isr,1146
,CiscoISR,X55,1146
,Cisco ISR Routerr,X55,1146
,cISCO isr,X55,1146
Router,nETGEAR nIGHTHAWK,v2,1147
Router,,4131/K9 y2z_Netgear Nighthawk,1147
Router,NetgearNighthawk,43,1147
Routerr,Netgear Niighthawk,506_R7000,1147
Router,NetgearNighthawk,AAX55,1147
rOUTER,Netgear Nighthawk-194,R7000,1147
rOUTER,NetgearNighthawk,,1147
Router,Netgear Nighthawk,r7000,1147
Router,Netgear Nighthawk,xx9_AX55,1147
v2,867_Router,nETGEAR nIGHTHAWK,1147
0b7_Router,Netgear Nighthawk,AX55,1147
4a1_Router,NetgearNighthawk,r7000,1147
Routey,Netgear Nighthawk-c37,4331/K9,1147
Routerr,1yz_Netgear Nighthawk,43,1147
Router,NetgearNighthawk,R7000,1147
NetgearNighthawk,R77000,Router,1147
Router-199,Netgear Nighthawk,4331/K9,1147
Route$,Netgaar Nighthawk,4331/K9,1147
X55,Netgear Nighthawk,Router,1147
Router,Netgear N%ghthawk,4331/k9,1147
X55,Netgear Nighthawk,Router,1147
Router,Nettgear Nighthawk,AX55,1147
Router,nETGEAR nIGHTHAWK,51a_v2,1147
Router,nETGEAR nIGHTHAWK,v2,1147
Router,Netgear Nighthawk,V2,1147
Router,Netgear Nighthawk,AX55,1147
12a_Router,Netgear Nighthawb,r7000,1147
Router-762,,4331/k9 $etgear Nighthawk,1147
Router-971,Netgear  Nighthawk,4331/K9,1147
654_Router,Netgear Nighth8wk,R700q,1147
Router,net,AX55-xcz,1147
rOUTER,Netgear Nishthawk,v2,1147
Router,Netgear Nighthawk,v2,1147
rOUTER,nETGEAR nIGHTHAWK,4331/K9,1147
857_R7000,Router,NetgearNighthawk,1147
Routef,Netgear Nighchawk,v2,1147
Router,X55,715_Netgear Nighthawk,1147
7xb_Router,Netgear N8ghthawk,v22,1147
Router,NetgearNighthawk,43q1/K9,1147
Router,0z5_Netgear Nighthawk,RR7000,1147
rOUTER,c46_v2,7az_Netgear Nighthawk,1147
unknown,N*tgear Nighthawk,Router,1147
Router-ax3,NetgearNighthawk 2X55,,1147
Router,Netgear Nighthawk-89z,AX55,1147
rOUTER,,AX555 NetgearNighthawk,1147
rOUTER,Netgear Nightha7k,V2,1147
rOUTER,betgear Nighthawk,87000,1147
Router,NetgearNighthawk,,1147
Router-2bc,NetgearNighthawk,4331/k9,1147
Router,z16_Netgear Nighthawk,R70000,1147
Router,Netgear Nighthawk,v2,1147
Router,Netgear Nighthaw@,4331/,1147
Router,Netiear Nighthawk,v2,1147
rOUTER,Netgear Nighthawk,v2,1147
rOUTER,Netgear Nighthawkk,,1147
rOUTER,Netgear Nighthaawk,v2,1147
Router-4y0,nETGEAR nIGHTHAWK,^2,1147
rOUTER,NetgearNighthawk,4331/K9,1147
Router,nETGEAR nIGHTHAWK,z03_R7000,1147
rOUTER,Netgear Nighthawk-a9a,43,1147
Router,nETGEAR nIGHTHAWK,V2,1147
Routeer,Netgear Nighthawk-605,V2,1147
NetgearNighthawk,R77000,rOUTER,1147
Router,Netgear Nighthawk,AX55,1147
AAX55,Routeu,Netgear Nighthawk,1147
Router-x62,534_Netgear Nighthawk,r7000,1147
route,Netgear Nighthawk,r2,1147
Router-877,Netgear Nighthawk,  ,1147
Router,Netgear Nighthawkk,ax5,1147
0xa_Router,NetgearNighthawk,AX55,1147
Router-1xz,nETGEAR nIGHTHAWK,v2,1147
Router,Netgear Nighthawk,v2,1147
Router,Netgear #ighthawk,v22,1147
107_Router,260_Netgear Nighthawk,RR7000,1147
Router,Netgear Nighthawk-cba,,1147
nETGEAR nIGHTHAWK,vw,rOUTER,1147
Router,Netgear Nighthawk,4331/k9,1147
Router,Netgebr Nighthawk,v2,1147
Router,nETGEAR nIGHTHAWK,v2,1147
Router,676_Netgear Nighthawk,AX55-cx0,1147
Router,nETGEAR nIGHTHAWK,AX55,1147
581_AX55,Router,nETGEAR nIGHTHAWK,1147
Router,NetgearNighthawk,433,1147
c9a_Router,R7000,2aa_Netgear Nighthawk,1147
Router,Netgear Nighthawk,R77000,1147
Router,nETGEAR nIGHTHAWK,v2,1147
Router-716,y81_Netgear Nighthawk,v2,1147
rOUTER,v2,Netgear Nighthawk,1147
Router,R70000,Netgear Nighthawk,1147
Router,nETGEAR nIGHTHAWK,R7000,1147
nETGEAR nIGHTHAWK,ax5,Router,1147
rOUTER,Netgear Nighthaek,ax55,1147
route,NetgearNighthawk,ax55,1147
NetgearNighthawk,AX52,Routeer,1147
Router,Netgear Nighthaawk,r7,1147
rOUTER,Netgear Nighthawk,4331pK9,1147
Router,NetgearNighthawk,A155,1147
568_Router,NetgearNighthawk,4331/K9-2cb,1147
R7000,7cy_Netgear Nighthawk,Routew,1147
A055,Netgear Nighthawk-0b5,Router,1147
53z_Router,Netgear Nig%thawk,AAX55,1147
Router,nETGEAR nIGHTHAWK,ax55,1147
Router,Netgear Nighthawn,R7000,1147
Router,*etgear Nighthawk,v2,1147
rOUTER,Netgear Nighthowk,AX5q,1147
Router-449,Netgear Nighthawk-a0y,X55,1147
Router,NetgearNighthawk,4331/K9,1147
nETGEAR nIGHTHAWK,Router-4y5,4331/K9,1147
nETGEAR nIGHTHAWK,Ae55,Router-b53,1147
rOUTER,Netgear Nighhthawk,4331/KK9,1147
Router,nETGEAR nIGHTHAWK,v2,1147
Router-0a3,NetgearNighthawk,r7000,1147
4331,nETGEAR nIGHTHAWK,Router,1147
4331/K9,Router,Netgear Nighthawk,1147
Router,NetgearNighthawk,y81_AX55,1147
Routeer,NetgearNighthawk,AX555,1147
Routerr,Netgeaa Nighthawk,4331/K!,1147
07000,nETGEAR nIGHTHAWK,Router,1147
Routek,Netgear Nighthawk 1ba_AX55,,1147
Router-zy8,Netg&ar Nighthawk,v2,1147
Routei,nETGEAR nIGHTHAWK,R7000-44a,1147
Routee,Netgear Nighthawk,R7000,1147
Router,Netgear Noghthawk,4331sK9,1147
rOUTER,Netgear Nighthawk,R7000,1147
Router,Netgear NNighthawk,4331/K9,1147
Router,Netgear Nighthawk,X55,1147
Router,Rt000,NetgearNighthawk,1147
773_Router,Netgear Nnghthawk,433,1147
Router,Netgear Nighthawk,AX55,1147
,4#31/K9,Netgear Nighthawk Router,1147
Netgear Nighthawk,Router,43,1147
rOUTER,Netgear Nighthawk,ax55,1147
rOUTER,Netgeear Nighthawk,a7000,1147
Routerr,nETGEAR nIGHTHAWK,R7000-22x,1147
Router,Netgear Niighthawk,43e1/K9,1147
Router,detgear Nighthawk,r7000,1147
rOUTER,Netgear Niighthawk,AX55-18a,1147
Router,NetgearNighthawk,x19_R7000,1147
Router,Netgear Nighthawk,v2,1147
y0a_AX55,rOUTER,Netgea^ Nighthawk,1147
NetgearNighthawk,ax,aca_Router,1147
Router-51b,nETGEAR nIGHTHAWK,v$,1147
Routeg,nETGEAR nIGHTHAWK,4331/K9,1147
Router,Netgearr Nighthawk,Aa55,1147
Router,Netgear Nighthawk,R7000-7y8,1147
Router,nETGEAR nIGHTHAWK,c7x_4331/K9,1147
R7000-x1y,Netgear Nighthawk-71b,Router,1147
route,Netgear Nighthawk,02,1147
Router,nETGEAR nIGHTHAWK,v2-0bx,1147
route,Netgear Nighthawk-bbx,vv2,1147
route,NetgearNighthawk,ax55,1147
Router,Netgear Nightthawk,4331/K9,1147
b5z_Router,NetgearNighthawk,v2,1147
AAX55,Netgear nighthawk,rOUTER,1147
Router,nETGEAR nIGHTHAWK,5ya_v2,1147
R7000,Router,NetgearNighthawk,1147
rOUTER,nETGEAR nIGHTHAWK,R700q,1147
Router,nETGEAR nIGHTHAWK,4331/K9,1147
Router,Netgear Nighthawk,4331/K9,1147
rOUTER,Netgear Nighthhawk,R7000,1147
4c7_Router,nETGEAR nIGHTHAWK,AX55,1147
rOUTER,NetgearNighthawk,43311K9,1147
6b4_R7000,Router,Netgear Nighthawk,1147
Router,nETGEAR nIGHTHAWK,v2-7a8,1147
a7z_Router,nETGEAR nIGHTHAWK,4ax_AX55,1147
98y_Router,Ne!gear Nighthawk,R7000,1147
rOUTER,Netgear Nighthawk-xb5,4331/k9,1147
rOUTER,Netgear Nnghthawk,R700p,1147
rOUTER,Netgear Nighthafk,4331/K9,1147
Router,27c_Netgear Nighthawk,R77000,1147
Router,Netgear Nighhthawk,r7000,1147
Router-102 AX555,Netgear Nighthqwk,,1147
Router,Netgear Nighhthawk,4331/K9,1147
Router,Netgear Nighthawk,v2,1147
Router-b42,Netgear Niuhthawk,,1147
,Netgear Nighthawk,4331/k9 Router,1147
rOUTER,Netgear !ighthawk,4331/k9,1147
rOUTER,nETGEAR nIGHTHAWK,AX55,1147
Routerr,Netgear Nighthaawk,AXX55,1147
Router,nETGEAR nIGHTHAWK,4331/K9-9z1,1147
96c_Router,4y9_Netgear Nighthawk,r7000,1147
22x_Router,Netgear Nighthawk,4331/K9,1147
Router,Netgear Nighth5wk,R7000,1147
rOUTER,Netgear NNighthawk,43t1/K9,1147
rOUTER,Netgear Nighthawk,v2,1147
Routed,Netgear Nighthawk-731,R6000,1147
Router,c78_Netgear Nighthawk,R7000,1147
NetgearNighthawk,5xc_Router,4331/Kh,1147
Router,nETGEAR nIGHTHAWK,4331/K9-4bb,1147
433,nETGEAR nIGHTHAWK,Router,1147
rOUTER,nETGEAR nIGHTHAWK,V2,1147
Router,NetgearNighthawk,R7000,1147
,Netgear Nighthawk,AX55 Router,1147
26z_Router,Netgear Nughthawk,r7000,1147
Routeer,Netgear Nighth^wk,Ar55,1147
R7000,nETGEAR nIGHTHAWK,4yx_Router,1147
route,Netgeear Nighthawk,v2,1147
Router,NetgearNighthawk,v22,1147
NetgearNighthawk,ax55,Routeer,1147
Router,NetgearNighthawk,AX55,1147
rOUTER,Netgear Nighthawk-z55,4331/K9,1147
R7000,z62_Router,Netgear Nightthawk,1147
,6z4_Netgear Nighthawk,4331/v9 5a0_Router,1147
Router,Netgear Nighthavk,4331/k9,1147
rOUTER,R7000-zx8,ba8_Netgear Nighthawk,1147
Rh000,ab9_Router,Neetgear Nighthawk,1147
Router-21b,6b6_Netgear Nighthawk,R70000,1147
NetgearNighthawk,Router,v8,1147
21c_Router,Netgearr Nighthawk,X55,1147
Router-545,Netgear Nighthawk-0c8,v2,1147
rOUTER,nETGEAR nIGHTHAWK,v4,1147
Netgear Nighthawk-b10,d7000,rOUTER,1147
c07_Router,Netgear Nighthawwk,oX55,1147
Router,Netgear Nighthawk,v2-6z6,1147
Router,47a_Netgear Nighthawk,AX555,1147
Router,nETGEAR nIGHTHAWK,X55,1147
Router,Netgear Nighthawk,R7000,1147
rOUTER,Netgear Nighthawk,v2,1147
Router,NetgearNighthawk,AX55,1147
Routeer,Netgear Nighthawk-114,4331/K9,1147
8x6_Router,NetgearNighthawk 026_4331/K9,,1147
Router,NetgearNighthawk,AXc5,1147
Router,Netgear Nighthack,R7000,1147
Netgear Nighthawk,Router,R7000-a05,1147
Router-y36,836_Netgear Nighthawk,R70000,1147
Router,NetgearNighthawk,R7000-19z,1147
rOUTER,Netgear Nighthawk,R700g,1147
Router-b8c,Netgeac Nighthawk,AX55,1147
Netgear Nighthawk,4331/K9,yzy_Router,1147
v2,Netgear Nighhthawk,Router,1147
Router,494_Netgear Nighthawk,v2,1147
Router,,R70q0 Netgear Nighthawk,1147
Router,NetgearNighthawk,vv2,1147
Router,nETGEAR nIGHTHAWK,R7006,1147
Router,nETGEAR nIGHTHAWK,,1147
Router,nETGEAR nIGHTHAWK,v2,1147
Router,Netgear Nig%thawk,AXp5,1147
