Type of hardware,Model,Submodel
מכלדת,רייזרBlackWidow,Tact2le
עכבר,אפל Magic Mouse,
עכבר אלחוטי,אפל Magic Mouse,6ireless
נייד,Pixel 8-8c6,yro Max
כבל,Ethernet Cat6-5x6,2M
rgb,,keyb
מסך,אל ג'יUltraGear,lLED
,,NoiseCancelling סוני WH-1000XM5
SM Crd,mic,AT&T
mo,StlSrs Rvl 3,אלחוטי
ca,Ethernet Caf6,BBlue
,NetgearNighthawk,v22 Rtr
ראוטרר,סייסקו ISR,R7000
לוג'ייתק MX Master 3-369,mOUSE,eptical
מוניטור,אל ג'י UltraGear,3a4_4K
מכלדת,CorsairK70,Li2ear
מצלמה,7x7_Eאל ג'יato Facecam,mK
כבל,Braidded,Ethernet Caat6
pRO mAX,Mbl Phn,one
סימ,NanoSIM,AT&a
Prepaid-9b4,eqIM,SIx Card
סים,MicroSIM,Prepaid
מחשב,רייזר Blade 15,cORE I9
rou,NetgearNighthawk,v2
עכבר אלחוטי,לוג'ייתק MX Master 3 Wired,
מכלדת-aa5,Keychron  Q1,RGB
Ms,אפלMagicMouse,Optical
מצלמת אינטרנט,רייזר kIYO,4K
hea,OOver-Ear,Sennheiser HD 600-x2a
מצלמה3a4_Webcam,Raazer Kiyo,b080p60
#REF!,עזוס,אולטרה-וויד
,4z5_Keychron Q1 Keyboard,RGB
כבל USB,USB-CtoLightning,???
Studio,AirPodsMax,Headphones
LD Tch MacBouk Pro 16,,lapt
0,רייזר dEATHaDDER,Optical
NetgearNighthawk,rOUTER,ax55
מחשב נייד,דל XPS 1!,32gb ram
מחשב ניידד,Lenivo ThinkPad X1,cORE I9
רייזרBlackWidow,Wאלחוטי,Keyboprd
ראוטר,870_Netgear Nighthawk,???
ראוטרר,TP-Link Archeer,r7000
סלולרי4zx_Mobile Phone,ipho,828GB
מכלדת,רייזר BlackWidow,RGB-9c9
כרטיס SIM,mICRO sim,Vrzn
0,MacBookPro16,
,אל ג'י UltrkGear moni,OLED
Rtr,סיסקו ISR-5by,AX55
סימ,mICRO sim,ver
מסך,7c8_על ג'יי UltraGear,144Hz-0y9
,סייסקו ISR,AX55 Router
כבלים,thrnt Ct6,50ft
R7000,rOUTER,Csc SR
כרטיס סים,751_Nano SIM,prepa
מסך,אזוסROGSwift,144Hz-044
מצלמת רשת,eאל ג'יATO fACECAM,HD Pr
Mouuse,רייזר DeathAdder,rgnmc
אזניות,סוני WH-1000aM5,Wiireless
ראוטרר,cis,v2
ראוטר,ne,ax55
כבל USB,HDMI 2.1,braid
כרטיס SIM,Esim,Prepald
נייד,Pixel8,128GB
ראוטר,סייסקוISR,x8b_v2
סמארטפון,oNEpLUS 12,pRO mAX
di,Cabbe,---
נייד,Unlocked,iPhone15
מקלדת,ke,Linear
wi,רייזרBlackWidow,keybo
וובקאם,,1080p60
רייזר BlackWidkw,אלחוטי,unknown
סמארטפון,,ultr
מצלמת רשת,רייזרKiyo,Swudio
אוזניות קשת,sennh,vr-r
מקלדת אלחוטית,CorsairK70,RG9
,Mouse,wirel
SM Crd,,Pre4aid
סמארטפון,ip,ProMax
Mou^e,SteelSeries Rival 3,217_אלחוטי
ShM Card,NanoSIM,AT&&T
,,ol Mntr
ro,TP-Link Archer,ax55
#REF!,964_TP-Link Archer,v2
נייד,del,M3 Max
לפטופ,???,Core&i9
מסך גיימינג,סמסונג oDYSSEY g9,4K
,iPhone 15 Mob#le Phone,128gb
Cab3e,DisplayPort1.4,blu
לפטופפ,,966_Core i9
מסך גיימינג,על ג'יי ltrGr,LD
לוג'יטק MX Master 3,Mouse,oPTICAL
eSI4,#REF!,ATT&T
נייד,128gb,OnePlus12
עכבר אלחוטי,op,Mouse-b0c
  ,324B RAM,lAPTOP
נייד,OnePlus 12-20a,a00_Unlocked
כבלל,HDMI  2.1,B#ue
לפטופפ4_Laptop,ma,Corei9
Optical,Mousse,אפלMagicMouse
מאוס,app,oPTICAL
לפטופפ626_Laptop,mACbOOK pRO 16,cor
כרטיס סים,micr,0
מחשב נייד,1xc_רייייזר Blade 15,Core i9-68b
וובקאם,0cb_Microsoft LifeCam,4k
טלפון נייד,OnqPlus 12,pRO mAX
,Ciuco ISR Rluter,4331
סים,,Verizon-587
mo,y4z_iPhone 15,Unlo6ked
iK,Web2am,Microsoftt LifeCam
Moonitor,asu,Ultxawide
ke,y87_לוג'ייתק MX Keys,RGB-692
מסך,Del3 UltraSharp,28x_OLED
micr,SIM Card,AT&&T
Rouher,tp,R7000
36c_4K,אזוס ROG Swift,???
מסך,,cc1_OLED אזוסROGSwift
אוזניות בלוטוס,SennheiserHD600,Over-Ear
כרטיס SIM70_SIM Card,eSIIM,
מקלדת8 MX Keys,,RGB
מאוס,,Optical
עכבר אלחוטי,SteelSeriesRival3,Optical
מחשב נייד3 ,de,
Moube,appl,lrgonomic
ראוטר,,4331/KK9 2b4_סיסקו ISR
כבל USB,HDMI2.1,bLUE
מצלמת אינטרנט,eאל ג'יa,10n0p60
Razzer BlackWidow,key,  
מצלמת אינטרנט,,1080p60
מסך,אל ג'י uLTRAgEAR,oled
וובקאם,רייזר Kiyo,Studdio
מכלדת,לוג'יטק MX Keys,rgb
עכבר,SteelSerces Rival 3,Wrd
סמארטפון,,128GB
כבלים,eth,2m
סלולרי,iPhone 15,w28GB
---,468_Eאל ג'יato Facecam,4K
ראוטר,#REF!,v2
,ether,z3x_2m Cable
אוזניות קשת9ones,sENNHEISER hd 600,0
מסך גיימינג,asu,אולטרה-וויד
L9ptop,MacBook Pro 16,6y2_Core i9
מסך מחשב,0,אזוסROGSwift
2IM Card,Najo SIM,vERIZON
veyboard,Keychrron Q1,rgb
כרטיס SIM,Nano SSIM,5G-1yy
Modse,Rzr Dthddr,5cx_Optical
מוניטור,אזוס ROG Swift,ult
ראוטר,nETGEAR nIGHTHAWK,  
מקלדת,,9cb_Tactile לוג'יטק MX Keys-y0a
עכבר אלחוטי,Opttical,
unknown,994_רייזר BlackWidow,yGB
אזניות,---,סינון רעשים
ראוטרר,ci,X55
Netggear Nighthawk,Router,R7000-zc0
סימ,eSIo,
מוניטור,as,OLEED
Rovter ax5,סיסקו ISu,
lo,wEBCAM,1080p60
סימ,eSIM,prepa
סימ-85y,,at
אזניות,סוני WH-1000XM5,עלחותיי
,tp-lINK aRCHER,4331/K9 Routel
לפטופפ,McBk Pr 16,OLED Toouch
log,1k80p60,Webcam
כרטיס SIM,Esim,Prepai$
אוזניות בלוטוס,Snnhsr HD 600,NoiseCancelling
מצלמת רשת,Eאל ג'יato Facemam,HD Pro-za7
551_OnePlus 12,128gb,mobi
טלפון נייד-527,onep,uNLOCKED
Motitor,סמסונג Odyssey G9,144h
טלפון נייד,Pixel 8,
סוני WH-1000XMf,NoiseCancelling,Headjhones
,log,HDPro
oPTICAL,רייייזר,Mouse
Cabble,HDMI 2.1-0b8,Braided
מאוס4c0_Mouse,logit,ybb_Optical
Hdphns,sENNHEISER hd 600,Over@Ear
מאוס,רייזר,wi
ראוטרר,,4331/k9 TP-Link krcher
סמארטפון,סמסונג Galaxy S24,Pro^Max
כבל,Ethernet Cat6,5pft
???,dacBook Pro 16,oled
SteelSeries $ival 3,Wired,Mouse
מחשב ניידד,x74_רייזר Blade 15,32GB RA8
mICROSOFT lIFEcAM,Webcam,HDPro
עכבר,לוג'יטק mx mASTER 3,Erxonomic
מכלדת,לוג'יטקMXKeys,Linear
5g,SIM Card,mICRO sim
SIIM Card,Verizon-372,Naao SIM
Cabble,DsplyPrt 1.4,50ft
Braided-0yc,#REF!,HDM 2.1
סים,micr,AT&T
טלפון נייד,Pixeel 8,128GB
mob,Phn 15,Unnlocked
ax5 Roouter,,ci
si,Micro SIM,at&t
סמארטפון,סמסונג Galaxy S&4,128GB
כרטיס סים,Micro SIM,Prepaxd
si,70z_Nano SIM,prep
נייד,OnePlus q2,Ultr0
עכבר,לוג'יטקMXMaster3,
SI7 Card,Nanoo SIM,
נייד,On%Plus 12,Ultra
וובקאם,אל ג'יt Fccm,4k
נייד,דל xps 15,32GB RAM
mo qLED,עזוסROGSwift,---
כרטיס סים,eSIg,Prep^id
סמארטפון,Pixel 8,unl
סים,nANO sim,Verizon
,samsu,OLED Monitkr
מחשב נייד,mACbOOK pRO 16,#REF!
ca,HDMI 2.1,Bradded
סים,A9&T,SM
unknown,bLUE,8b6_Cable
,OnePlug 12 MobilePhone,128GB-205
אלחוטי,Sny WH-1000XM5,head
לפטופ,Raz%r Blade 15,Corei9
אוזניות קשת,over-,Snnhsr HD 600
אזניות,,#REF!
Hdphns,Snnhsr HD 600,Std
כרטיס סים,at&t,Micro SIM
ראוטרר,TP-Link Archer,X55
מסך מחשב-y8y,---,ltrwd
מקלדת7oard,,אלחוטי-x41
Kegboard,ra,RGGB
עכבר אלחוטי,SteelSeriesRival3 wi,
אוזניות קשת600,,
כרטיס סים,MicrojSIM,1a6_AT&T
Mouuse,sTEELsERIES rIVAL 3,9ired
מחשב,Lenovo ThhinkPad X1,oled tOUCH
Wbcm,רייייזר Kiyo,1080P60
סים,at&t,---
0,לוג'ייתקMXKeys,Tacti%e
כבלל,HgMI 2.1,2m
מאוס,ppl Mgc Ms,wired
,,אולטרה-וויד
Roucer,סיסקו  ISR,4331/K9
Mbl Phn,Unlocked,Pix^l 8
כרטיס SIM-519,x94_Nano SIM,Prepaid
,rOUTER nETGEAR nIGHTHAWK,unknown
X55,Netgear Nighthawk,Router
כרטיס SIM,Ngno SIM,AT&T
כרטיס SIM,na,Prepaid-267
מסך,mOBILE pHONE,Pixel 8
cabl,Ethernet rat6,Bnue
אוזניות,Bose QuietComfort 45-076,NoiseCancelling
כבלל,thrnt Ct6,Br7ided
מקלדת גיימינג,logit,Wir@less
מצלמה,רייזרKiyo,6zz_1080p60
סמארטפון,pIXEL 8,uNLOCKED
אוזניות,sen,Wiueless
Hdphns,סוני wh-1000xm5,Studio
SM Crd,eSIM,5G
נתב-25b,Netgear Nighthawk-1x1,R70j0
מקלדת,ra,tGB
כבל,HDM 2.1,Bluee
טלפון נייד7adphones,סוני WHH-1000XM5,wi
וובקאם-xb5,unknown,1080p60-309
מקלדת01_Keyboard Wrlss,לוג'יטק MX Keys,
כבל USB949_Cable,Ethernet pat6,2M
ראוטר,TP-Lnk rchr,v2
מכלדת,רייזר BlackWidow-aby,rg
אזניות,bo,oVER-eAR
מצלמת רשת,Razeer Kiyo,44K
נייד9le Phone,#REF!,unl
כבלים,SB-C t על ג'ייhtnng,Bluue
וובקאם,רייזר Kiyo,Studio
מצלמה,ra,$D Pro
0,לוג'יטקMXMaster3,Ergo0omic
אוזניות,Sennheiser HD 600-a42,Std
מקלדת,Keychron Q1,Tactile
מחשב נייד,de,32Gc RAM
מחשב נייד,zcy_Lenovo ThinkPad X1,oled 
---,sam,MMonitor
,882_Micro SIM AT&T,SIM Card
Kybrd,log,wire
אוזניות,2cy_AirPods Max,Wireldss
אזניות,Sennhsiser HD 600,
סינון רעשים-y88,sENNHEISER hd 600,Headqhones
סימ-0x9,nANO sim,???
סמארטפון,iPhone15,128GB
מסך,OLsD,סמסונג Odyssey G9
Kybrd,#REF!,Wiireless
מחשב נייד8top,MacBook Pro 16,cORE I9
Eאל ג'יatoFacecam,,Std
N6ise Cancelling sen,,hEADPHONES
SIh Card,Nn SM,Prpd
מקלדת גיימינג,רייזרcBlackWidow,Tactile-48x
Mntr,סמסונג Odyssey G9,Ultraside
מקלדת אלחוטית,Keeychron Q1,עלחותיי
Wbcm,,HD Pro Microsoft LifeCam
לפטופפ,רייזרBlade15,32GB RAM-907
144hZ,???,Mntr
כבל USB,Ethe%net Cat6,2f
מצלמת אינטרנט,Eאל ג'יato Facecam,HD Pro
Eאל ג'יatoFacecam,1080p60,we
סלולרי15,MobilePhone,128gb
55G,unknown,Micro SIM-x9y
aouter,r7000,TP-LinkArcher
מסך מחשב,a6x_על ג'יי UltraGear,עולתרה-ווייד
מסך גיימינג,סמסונג gALAXY s24,mOBILE pHONE
mACbOOK pRO 16,Lapptop,OLED Touch
wIRELESS,Keyboard,ke
מסך,אזוס ROG Swiftt,
כבל,EthernetCat6,50ft
,eSI8,z32_Prepaid
מסך גיימינג,סמסונג Odystey G9,4K-739
כרטיס סים,8a7_Micro SIM,pREPAID
לפטופפ,MacBookPro16,Core iv
אוזניות בלוטוס,AirPods Max-443,
לפטופ,869_Lenovo ThinkPad X1,cORE I9
OLED,Monitor-969,אל ג'י uLTRAgEAR
מקלדת גיימינג,kEYCHRON q1,wir
rPds Mx,Wireles7,Headphonas
2x5_Verizon,Mcr SM,SM Crd
סלולרי,iiPhone 15,pr
מצלמה,רייייזר Kiyo,4n
כרטיס SIM,AT&T,Nn SM
מסך מחשב,סמסונג Ody1sey G9,4K
מקלדת אלחוטית,רייזר BlackWi&ow,T@ctile
Pro  Max,one,Mobile Phone
Cabwe,USB-C to Lightning,Braided-z8x
כבל-a19,SB-C t אל ג'יhtnng,50
מחשב ניידד,LenovoThinkPadX1,32gb 
HDtI 2.1,Blue,cABLE
מחשב ניידד,z80_MacBook Pro 16,cORE I9
---,Smsng Glxy S24,Unlocked
אוזניות,BoseQuietComfort45,cz2_Over-Ear
לוג'יטק c920,Studio,Webcam
מחשב ניידד,y80_Lenovo ThinkPad X1,851_Core i9
מסך,אל ג'י uLTRAgEAR,ax5_אולטרה-וויד
OnnePlus 12,Ultra,mobi
סמארטפון,Pixeu 8,Unlocked
סלולרי,1e8GB,iPho2e 15
מכלדת,Corsair K70,zz8_RGB
סוני WH-1000XM5,אלחוטי-yx3,---
ראוטרר,TP-Link Archer-042,v2
Wbcm,Microsoft LifeCam,6x0_Studio
מסך מחשב,סמסונג Odyssey GG9,LD
אזניות,,Studio
סים,esim,AT&&T
ראוטרר-794,netg,v2
Kybrd,לוג'יטקMXKeys,#REF!
נייד-y81,Pro Maq,  
מסך,סמסונג Odgssey G9,4K
Whbcam,Microsoft LifeCam,hd p
סמארטפון,סמסונג Galaxy S24-c31,Pro bax
מסך,???,4!
Mntr,Dll ltrShrp,Ult6awide
אוזניות,sennh,Ns Cncllng
,Lenoovo ThinkPad X1 Laptqp,M3 Maax
44K,רייזר kIYO,Webcam
סימ,mICRO sim,T&T
כבלל,HDMIo2.1,Braided-cy9
Wiired,MMouse,עפל mAGIC mOUSE
נתב8r,nETGEAR nIGHTHAWK,R7000
כבל,2e,thrnt Ct6
ראוטר6b6_Router,tp-lINK aRCHER,R700e
כבל,usb-c TO lIGHTNING,50f
na,SIM hard,at
מסך,SS RG Swft,OLED
מכלדת,Corsair K70,li
Optical,,Mouuse
מקלדת אלחוטית-6a9,cORSAIR k70,Lnr
HDM 2.1,Bl,cabl
מקלדת אלחוטית,לוג'ייתק MX Keyys,RGr
מסך,דל qltraSharp,ultra
סמארטפון,pro ,OnePlus 12
כרטיס SIM6ard pREPAID,,
Mozitor,50z_סמסונג Odyssey G9,oled
מוניטור,דל UltraSharp,44K
מחשב נייד,McBk Pr 16,Coore i9
מחשב נייד,MacBook Pro 16,Core ii9
מצלמת רשת,Eאל ג'יato Facecam,???
unknown,סמסונגOdysseyG9,144Hz
סימ,micr,Ver3zon
סמארטפון,x9y_iPhone 15,128g
נתב,,0
עכבר אלחוטי,רייזר DeatlAdder,Wired-157
נייד,סמסונג Galaxy S24,Unlocked-915
Mntr,דל UltraSharp,144hZ
azb_סינון רעשים,Headphoness Sennheiser HD 600,
מקלדת גיימינג,raze,RnB
he,so,Noish Cancelling
לפטופפ-z1b,MacBook Pro 16-57z,M3 Ma6
אוזניות,bOSE qUIETcOMFORT 45,sTUDIO
nano,Prepaid,si
Lnr,רייזר BlackWidow,ke
captop,MacBook Pro a6,oled tOUCH
מסך מחשב,אזוס ROG Swift,אולטרה-וויד
עכבר,רייזרDeathAdder,Ergonomicc
סימ,Nn SM,Prepa%d
אוזניות בלוטוס,AirPodsMax,wIRELESS
לפטופפ,רייייזר bLADE 15,core 
מצלמה,רייזר kIYO,4K
סלולרי,onepl,128GB
מקלדת גיימינג,לוג'יטק MXX Keys,  
אזניות,z44_סוניי WH-1000XM5,Studio
נייד,Lenovoo ThinkPad X1,co
אוזניות בלוטוס,Sennheiser HD 600,Over-E0r
מקלדת גיימינג,על ג'ייtch MX Kys,wi
מחשב נייד,MacBook Pro 16-456,M3 Mx
he,AirPods Maxx,Studio
מחשב ניידד,Lenovo Th1nkPad X1,32GB RM
4K-55y,mONITOR,
סלולרי,Pixel 8,uNLOCKED
מסך גיימינג069_Monitor,azb_דל UltraSharp,OLED
וובקאם3m,---,1080pm0
אוזניות קשת,bOSE qUIETcOMFORT 45,Over-Eam
,על ג'יי UltraGear-44a,0
לפטופפ,רייייזר Bladee 15,Core i9
hdm,  ,Cablee
4331/K9,Netgear Night&awk,rou
כבלים,usb-c TO lIGHTNING,5a4_Braided
כבלל,EthernetCat6,2m
oPTICAL,mOUSE,אפל aagic Mouse
כבלל,DisplayPort 1.4-xy7,2M
,לוג'יטק MX Keys-6by,Linear Keyboard-z5a
,דל XPy 15,4x3_M3 Max
מקלדת גיימינג637_Keyboard,,Wpreless
מוניטור,סמסונג Odyhsey G9,OLLED
מחשב ניידד,429_Lenovo ThinkPad X1,Cr 9
#REF!,דל UltraSharm,4K
לפטופ,lENOVO tHINKpAD x1,ax5_32GB RAM
מחשב ניידד,דל XPS 15-xc9,M3 Max
אוזניות בלוטוס,senn,אלחוטי
מאוס,StlSrs Rvl 3,Optical
נייד,xxb_Pixel 8,Unlocked
mo,one,128GB
,on,#REF!
נתב,NetgearNighthawk,ax55
m3 mAX,unknown,רייזר Blade  15
מסך גיימינג,אזוס ROG Swift-9ac,144Hz
Lin2ar,144_Keyboard,לוג'יטקMXKeys
NetgearNighthawk,AX52,Routeer
Rtr,TP-Lnk rchr,20a_4331/K9
aK,we,raz
כרטיס סים,SM,5G
סים,es,5G
Kybrd,Kychrn Q1,Taptile
מאוס,עפל mAGIC mOUSE,opti
כרטיס סים-246,Nn SM,AT&T
מצלמת רשת,zx7_רייייזר Kiyo,HD Pr
עכבר אלחוטי,sTEELsERIES rIVAL 3,rgnmc
עכבר,lo,Wired-4b7
נייד,,Unlocked
נתב,סיסקוISR,
סים,Micro SIM,5g
סים,eSIM,at
מצלמת אינטרנט,el,Std
4331/k9,Rout3r,סיסקוISR
מאוס,עפל Magic Mouse-cyx,אלחוטי
128GB,mob,OnePlus 12
אוזניות2bc_Headphones,SennheiserHD600,4a4_סינון רעשים
ראוטר,Netgear Nighthawk-8c7,43319K9
SM Crd,eSI6,5G
מצלמת אינטרנט,Eעל ג'ייato Facecam,117_HD Pro
מחשב נייד,macbo,OLED Tbuch
כבל USB-675,hdmi 2.1,50ft
ראוטרר2_Router,TP-Link AArcher,4331/K9
eSIIM,SIM Car8,
Mtuse,רייזרr DeathAdder,Opjical
מסך גיימינג,דל UltraSharp-yy0,144Hz
Rtr,net,v2-z79
oouter,???,R70000
אוזניות בלוטוס,Bose Q2ietComfort 45,
,Ethernet Cat6,52a_Blue
Cablle,HDMI 2.1,xm
מסך מחשב,סמסונג Odyssey G9,OLEDD
מחשב9,len,
ראוטרר,TP-Lnk rchr,R7000
מסך,a99_Monitor,141Hz
,Sny WH-1000XM5 Headphones,oVER-eAR
32GB RM,lENOVO tHINKpAD x1,lap
---,iPhon0 15,pRO mAX
Motitor,סמסונג Odysseey G9,OLED
אוזניות בלוטוס,סוני WH-1000Xs5,no
מסך,,OLED
מקלדת,Keychron Q1,tACTILE
טלפון נייד15,mobi,Pro Max
מסך גיימינג,b18_סמסונג Odyssey G9,
כבל,,Bluee
Optwcal,mpple Magic Mouse,3a2_Mouse
מכלדת,Keychron Q1-xc7,lINEAR
מצלמת אינטרנט-711,Microsoft LifeCam-83a,10080p60
Rtr,NetgearNighthawk,r7000
Etherrnet Cat6,,50ft
נייד,דל xps 15,M34Max
כבל USB70c_Cable,373_Ethernet Cat6,im
4k,אזוס ROGG Swift,Monitor
כבלים,626_DisplayPort 1.4,2m
Wbbcam,Rnzer Kiyo,4K
נייד9one,OnePlus 12,128GGB
מחשב,,Cr 9
מוניטור,דלUltraSharp,951_4K
ראוטר-y34,TP-LinkArcher,X55
מצלמת אינטרנט,Eעל ג'ייatoo Facecam,hd p
מוניטור,אזוס ROG Swift,
אוזניות,ctudio,sennh
,דל UltraSharp,144ez ronitor
מקלדת גיימינג6tech MX Keys,,Kybrd
Mbl Phn,5cc_iPhone 15,Pro Max
מקלדת אלחוטית,Keychron Qh,rgb
מסך גיימינג,סמסונג Odyssey G9,144Hz
,664_סמסונג Galaxy S24,9c1_Unlocked
מוניטור-3y4,LD,Saamsung Odyssey G9
USB-C to Lightning,,Bluee
אוזניות קשת,SennheiserHD600,Wrlss
כבלל,HDDMI 2.1,Blue
M3 Max,דלXPS15,323_Laptop
כבל,dISPLAYpORT 1.4,bLUE
מצלמה64b_Webcam,Eאל ג'יato Fa1ecam,HD Pr
סלולרי,samsu,unl
מקלדת גיימינג,kEYCHRON q1,Wrlss
Studio,he,Sennheiser HD 600
0,אל ג'יt Fccm,ftudio
מכלדת,KeychronQ1,
סימ4rd,Nano SIM,5g
yzy_עזוס ROG Swift,a46_OLED,Monitor
mo,lo,Ergonomic
מצלמת אינטרנט4_Webcam,mICROSOFT lIFEcAM,1080p20
מאוס,,eRGONOMIC רייזר DeathAdder-a06
סימ43_SIM Card,MicroSIM,Prepaid
כרטיס סים,Mcr SM,5x
5g,SIMCard,Nano SIM-c39
טלפון נייד,Pixel8,Pr Mx
עכבר6a_Mouse,SteelSeries Rival 3,Optical
נתב-2y2,NetgearNighthawk,4331/K9
מצלמה,Mcrsft LfCm hd ,
Mo^itor,עזוס ROG Swiift,c0x_OLED
unknown,Rzr BlckWdw,c87_Linear
נתב,סיסקוISR,77000
סימ,mICRO sim,
מצלמה2am,אל ג'יt Fccm,HDPro
מסך-9c2,czc_דל UltraSharp,OLEp
,רייזר Khyo Webcam,HD P#o
ראוטר1_Router,a7a_TP-Link Archer,588_v2
נייד,Pixel 8-202,pRO mAX
כרטיס סים,SM,5G
אל ג'י u,Monitor,#REF!
מצלמת אינטרנט,Eאל ג'יato Fazecam,HD Pr
,Micro SIM,AT&T SIMCard
מצלמה-c61,logit,4k
Ergonomicc,Logatech MX Master 3,
טלפון נייד,0ixel 8,z1x_Unlocked
עכבר אלחוטי,רייזר DeathAdder,Optical
כרטיס SIM,eSIM,5G
מחשב,MacBook Pro 16,OLxD Touch
כרטיס סים-zb2,38x_Nano SIM,
אזניות,Bose QuietComfort 45,Nrise Cancelling
Mouuse,רייזר DeathAdder,oPTICAL
wire,ppl Mgc Ms,mOUSE
hea,סוניxWH-1000XM5,Studio
Rtr,c18_סיסקו ISR,R7000
Ca3le,HDMI2.1,Breided
טלפון נייד,IpHONE 15,Ultra
וובקאם,386_Eעל ג'ייato Facecam,861_HD Pro
סימ,Micro SIM-2ax,AT&T
ראוטר,,z64_AX55
וובקאם-c95,Microsoft LifeCam-x23,10880p60
ראוטרר,TP-Link Adcher,V2
כבל USB-2ab,disp,Blee
מאוס,Msuse,אלחוטי
Over-Ear,AiirPods Max,  
---,50ft,a1z_Ethernet Cat6
Cbl,Ethernet Cat6-b32,BBlue
,xxy_Nano SIM SIM Card-546,veriz
אוזניות,סוני WH-1000XM5,NoiseCancelling
מצלמת אינטרנט741_Webcam,b55_לוג'ייתק C920,1080p60
וובקאם,על ג'ייt Fccm,HD Pro-58x
מוניטור,zx8_אזוס ROG Swift,oled
מסך,אל ג'י uLTRAgEAR,4k
Lvptop,mACbOOK pRO 16,32GBRAM
si,Micro SIM,T&T
Mntr,עזוס,144Hz
מסך מחשב3x8_Monitor,,OLEED
וובקאם,MicrosoftLifeCam,hd p
Sennheiser HD 600,,Headphones-2c2
סימ,Mcr SM,AT&&T
אוזניות בלוטוס,סונייWH-1000XM5,wIRELESS
מחשב ניידד97_Laptop Dell XPS 15-7zc,,Corei9
נייד,pixel,76c_128GB
,Webc#m,MicrosoftLifeCam
נייד,סמסונגGalaxyS24,Pro Mfx
esi,SIM  Card,vERIZON
cab,eTHERNET cAT6,Blue
מצלמה,---,x89_HD Pro
509t,USB-C to Lightning,Cable-bc8
מצלמה,לוג'יטק c920,4k
מכלדת4d,לוג'יטק mx kEYS,tac
uNLOCKED,OnePlu4 12,Mobine Phone
מוניטור,---,אולטרה-וויד-01b
Rouuter,Csc SR,4331/K9
mo,אפל M6gic Mouse,wirel
מסך גיימינג,,Ultraw0de
Kepboard,Keychroon Q1,אלחוטי
מקלדת אלחוטית,רייזר4BlackWidow,cy6_Tactile
אוזניות,סוניי wh-1000xm5,no
נייד-794,cy0_OnePlus 12,128g
ראוטר,Netgear Nighthawk,V2
סים-7x1,N8no SIM,AT&T-271
ראוטר,Netgear Nighthawk-a9a,43
נתב,Csc SR,  
Blue,DsplyPrt 1.4,Cabl7
מסך גיימינג,דל UltraSharp,ole
עכבר,Wirelesn,Mouse
RGB,Keychronn Q1,Keyb7ard
128,x69_iPhone 15,x05_Mobile Phone
מקלדת גיימינג2z5_Keyboard,לוג'יטק  MX Keys,wir
אוזניות,Sennheiser HDD 600,x58_עלחותיי
עכבר אלחוטי,sTEELsERIES rIVAL 3,ergo
נייד,0,oled tOUCH
מוניטור,אזוס ROG Swi@t,4k
,Pro Max,pIXEL 8
Cbl,hdmi 2.1,50et
מחשב נייד,McBk Pr 16,LD Tch
מקלדת גיימינג,kEYCHRON q1,wIRELESS
עכבר,StlSrs Rvl 3,Optical-2bc
כבל USB,Ethernet Catt6,50FT
כרטיס סים,AT&T,Nn SM
נתב,TP-Link Arc^er,v2
סמארטפון,,סמסונג gALAXY s24 ltr
סמארטפון,Phn 15,Unlncked
SteelSeriesRival3,mOUSE,Optica&
---,2m,thrnt Ct6
  ,רייזר DeathAdder,Ergonomic
מוניטור-a1x,Ultrawido,סמסונג oDYSSEY g9
סלולרי,Pixelz8,Pro M8x
9a1_OnePlus 12,0,Unlocked-cy1 MobilePhone
מקלדת,key,Lineaj
מצלמת אינטרנט,Efgato Facecam,vK
סמארטפון,178GB,iPhone 15
לפטופפ,de,Corei9
Ca8le,HDMI 2.1,Brdd
אוזניות קשת,#REF!,noi
8ogitech C920,Std,wEBCAM
Hdphns,Bose QuietComfort 4c,Stu@io
נתב,tp-lINK aRCHER,4331/k9
נייד,pix,cltra
מצלמת רשת,על ג'ייtch C920,4KK
מקלדת,רייזרBlackWidow,Wirelesr
סימ,  ,!G
כרטיס סים,esim,AT&T-xc1
מצלמת רשת,Mcrsft LfCm,1080p660
Blue,hdmi 2.1,Cable
Mouoe SteelSeriesRival3,#REF!,אלחוטי
נייד,  ,32GBRAM
סלולרי,Phn 15,128fB
טלפון נייד,Pixel8,Pr Mx
מצלמת רשת,ra,4K
wIRED mo,לוג'יטק MX Master 3-a8z,
SM Crd,nANO sim,Verizon-65a
סלולרי,סוני WH-1000XM5-57x,Over-Ear
Coble,9z9_Ethernet Cat6,Blue
סים,eSIM,T&T
וובקאם,לוג'יטק C920-xy5,1080P60
נתב,Netgear Nighthawk,4331/s9
Cab$e,81b_HDMI 2.1,Blue
סימ,micr,5g
3outer,,r700
מאוס,xa0_Ergonomic,SteelSeriesRival3
מצלמה,MicrosoftLifeCam,HD Pr
Ldptop,del,m3 m
מכלדת,רייזר BlackWidow,
Mbl Phn,128,Samszng Galaxy S24
סים,Naano SIM Verizon,
ראוטר,NetgearNighthawk,433
,Netgear Nig#thawk,AX55
מוניטור,4k,*amsung Odyssey G9
מקלדת גיימינג,Corsaip K70,rgb
,רייזר Kiyo,Stuudio Webcam
4i,Monivor,אל ג'יUltraGear
טלפון נייד9one,OnePlu5 12,
Mntr,אל ג'י ltrGr,14@Hz
מסך מחשב,אזוס RROG Swift,OLE9
0K,Webcam,לוג'יטק C920
