Type of hardware,Model,Submodel
,NanoSIM,Prepaid SIM Card
,StlSrs Rvl 3,oPTICAL
0,Piixel 8,Ultra
טלפון נייד,ipho,128GB
טלפון נייד,iPhone15,altra
מחשב נייד,דל xps 15,co
מסך מחשב,4K,M&nitor
אזניות,Sennheiser HD 600,אלחוטי
מקלדת גיימינג127_Keyboard,Keychron Q1,RGB
מחשב נייד,Delc XPS 15,MM3 Max
mo,סמסונג oDYSSEY g9,LD
מוניטור-a96,דל  UltraSharp,144Hz
Mntr,דלUltraSharp,uLTRAWIDE
HDfI 2.1,bLUE,ca
עכבר אלחוטי,עפל Magic Mouuse,wire
סמארטפון,26x_OnePlus 12,Pro Max
אוזניות,AirPods Max-7yz,אלחוטי-c69
מקלדת,רייזר BlackWidow-254,אלחוטי-2y8
כרטיס SIM,NanosSIM,5G
M3@Max lapto,,דל XPS 15-aa9
2m,DisplayPort 1.4,Cable
,TP-Link Archer Ronter,R7000
ראוטר,סיסקוo ISR,X55
עכבר,st,Opptical
כרטיס סים,Nano SIp,???
5g,Esim,si
1080,לוג'יטק C920,we
Mhuse,,אפל Magic Mouse erg
אוזניות קשת,Sennnheiser HD 600,Studio-383
עכבר,mOUSE,???
iebcam,  ,HD Pr3
מצלמת אינטרנט,Eאל ג'יato Fac8cam,1480p60
0,לוג'ייתקC920,4K
מסך,דל UltraSharp,3K
עכבר,Rzr Dthddr,390_Ergonomic
netge,rou,650_4331/K9
סלולרי,oNEpLUS 12,Unlockeed
a3y_R7000,tp-l,Rout0r
מחשב נייד,Rzr Bld 15,m3 mAX
Ms,ra,Errgonomic
לפטפ,דלXPS15,32GB RAM
טלפון נייד,unknown,128GB
קיבורד,רייזר bLACKwIDOW,RGd
אוזניות,,Wirelless AirPods$Max
Mntr,421_דל UltraSharp,2z9_OLED
---,על ג'יי uLTRAgEAR,144Hz
מחשב נייד,96a_דל XPS 15,32gb ram
כבלל-35b,ethe,Braided
*ebcam,---,Studio
כרטיס סים,Micro  SIM,Prepaid
מקלדת,Keychron Q1,Tactile
ro,,4331
מצלמת אינטרנט,Elאל ג'יato Facecam,sTUDIO
R7000,NetgearNighthawk,rou
סמ505_SIM Card 5G,Naano SIM,
Ms,Raze3 DeathAdder,Optical
מצלמת אינטרנט,Eאל ג'יatq Facecam,Hd Pro
מקלדת,Corsair Kt0,li
מצלמה,MicrosoftdLifeCam,1080
מחשב נייד,דל ,oled tOUCH
ראוטר,tp-lINK aRCHER,vv2
unknown,OnePlus 12-67z,z28GB
טלפון נייד,OnePlus 12,Udtra
128GB,Mbl Phn,OneePlus 12
אוזניות בלוטוס,SennheiserHD600,7ac_סינון רעשים
מחשב נייד,de,z2GB RAM
Logitech MX Master 3,mo,wi
מחשב נייד,MacBook Pro f6,m3 mAX
מצלמת אינטרנט,רייזר Kilo,HD Prro
69y_לוג'יטק MX Master 3,Wirelesp,Mouse
מחשב נייד,mACbOOK pRO 16,cor
מצלמת אינטרנט,Eאל ג'יato Facec8m,hd p
Cab1e,DisplayPort1.4,bRAIDED
מצלמת אינטרנט,Microsrft LifeCam,HD Plo
מחשב נייד,McBk Pr 16,Cora i9
Mouuse,Logitecch MX Master 3,ptcl
כבל,usb-c TO lIGHTNING,bRAIDED
מאוס-163 RazerDeathAdder,,optic
אוזניות,yx1_סוני WH-1000XM5,???
0,DisplayPorrt 1.4,Blue-4c4
מחשב נייד,MacBookPro16,32GB RAM
כבל USB-880,Ethejnet Cat6,Braiided
Mokse,ap,עלחותיי
סים,Micro SfM,Prepaid
ראוטר,TP-Li2k Archer,ax55
סייסקו isr,R7000,Router
סימ,eSIM,AT&T-ca3
Wbcm,Microsoft LifeCaam,1080p60
0,hdmi 2.1 cabl,e0ft
כרטיס סים,Micro SIM,
ראוטר,TPvLink Archer,j331/K9
מסך מחשב-401,  ,144Hz
מסך,Samsong Odyssey G9,4K-a7c
אזניות,סוני wh-1000xm5,Wirreless
סיסקו ISR-846,AX55,Router
מצלמת אינטרנט,Microsoft LifeCam,Studio
Microssoft LifeCam,,Wewcam
מצלמת אינטרנט,לוג'יטקC920,4K
מסך,SS RG Swft,Ulwrawide
כרטיס SIM81_SIM Card,e$IM,AT&T
אוזניות,bo,אלחוטי-34b
מצלמת אינטרנט,לוג'יטק C920,1080p60-47x
mou,אפל Magic bouse,op
מוניטור,Smsng dyssy G9,144Hz
0,Samsuzg Odyssey G9,OLED
מקלדת אלחוטית,,אלחוטי
,hdmi 2.1,Blue Cable
עכבר,רייזר DeathhAdder,eRGONOMIC
סמ,Nano SIM-8c5,Prpd
כרטיס סים,Micro SIM,???
טלפון נייד,???,Ulttra
asus,x7x_4K,Monnitor
מצלמת אינטרנט,c66_Eאל ג'יato Facecam,1080P60
,yba_Bose QuietComfort 45,אלחוטי-7ca
עכבר,אפל Magic Mouse-bzy,ptcl
וובקאם,רייזר Kiyo,4t
כרטיס סים,,y32_AT&T
,Micro SkM,AT&T-zxa
כרטיס סים,eSIM,uG
סים,MicroSIM,at&t
rAZER kIYO,jebcam,hd 
מקלדת,Razor BlackWidow,fGB
מקלדת גיימינג,Keyboard,עלחותיי
---,iehone 15,ltr
טלפון נייד,iP0one 15,Pro Max
אוזניות,Bs QtCmfrt 45,no
Dll XPS 15,32GB RAM-54a,Lapttop
טלפון נייד,,128GB iPhone15
כבל,HDMMI 2.1,2m
razer,42c_Optical,Mousse
מצלמת אינטרנט,0,HHD Pro
???,MaacBook Pro 16,32GB RM
K4yboard,לוג'יטק MX Keys-b71,rgb
אוזניות,Bose  QuietComfort 45,
מכלדת,לוג'יטק MX Keys-zxa,אלחוטי
M^use,לוג'יטק MX Master 3,Wired
נייד,oNEpLUS 12,pRO mAX
עכבר אלחוטי,unknown,Mouse
מכלדת,28z_Keychron Q1,אלחוטי
כרטיס SIM,Micro SIM,Prepaid
Cablw,DisplayPort 1.4,2m
,samsu Monitor,14
Netgear Night#awk,Routerr,R7000-634
מסך,אל ג'י UltraGyar,pK
מצלמת אינטרנט,0,4k
,257_Eאל ג'יato Facecam,10880p60
unknown,Mobile Phone,128GB
מקלדת,רייזר BlackWidow,rgb
אוזניות,Bose QuietComfort 45,wi
נייד,mac,co
,דל  core,
מחשב נייד,רייזר Blade 15,---
מחשב ניידד,LenovoThinkPadX1,Corei9
Mo3itor,סמסונג Odyssey G9-268,#REF!
tIM Card,Nano SIIM,pT&T
כרטיס סים,nANO sim,at&t
כרטיס סים,P*epaid,SIM ^ard
מסך מחשב7z_Monitor,Ultrawide,asu
כבלל,y30_USB-C to Lightning,Bkue
עכברר2,רייזר DeathAdderr,oPTICAL
אוזניות בלוטוס9s,AiirPods Max,עלחותיי
mo,iPhone 15,ltr
Keeyboard,לוג'יטקMXKeys,W&reless
נתב,,R7000
מצלמת אינטרנט,MicrosoftLifeCam,unknown
Cablv,7z0_DisplayPort 1.4,2M
טלפון נייד,iph,Unlocked
מקלדת,Corsair K70,Linear
עזוס,43,mon
רוטר,TP-Link Archer,R7000
מצלמת אינטרנט,לוג'יטק c920,1080P60
אוזניות,sen,אלחוטי
כרטיס סים,Micro SIa,AAT&T
מוביל15,Mobile Phoone,unl
,סיסקו,r7000
לפטפ,MacBook Pro 16,OLEDTouch
Wbcm,by1_לוג'יטק C920,4K
#REF!,Logit0ch C920,Studio
מחשב נייד,MacBook Pro 16,Coregi9
מסך,de,4K
עכבר,SteelSeries Rival 3,Ergonomic
מצלמת רשת89_Webcam Logitech C920-478,,Studto
wIRELESS,app,Mousa
לפטופ0y1_Laptop,MMacBook Pro 16,32GBRAM
מחשב נייד,Lenovo Think7ad X1,m3 mAX
ראוטר,Netgear Nighthawk,4331/K9
מחשב נייד,MacBook Pr3 16,M3 Max-9z5
מוביל,pixe,ult
C0ble,Ethernet Cat6,bl
כרטיס סים,SM,pREPAID
מחשב נייד,LenovoThinkPadX1,OLED 2ouch
כרטיס סים,Nano SIM-43z,5G-6a9
מאוס,sTEELsERIES rIVAL 3,rgnmc
,mICROSOFT lIFEcAM,@D Pro Webcam
טלפון נייד,OnePlus12,128GB
AX55,rout,סיסקו isr
כרטיס סים,e0IM,Prepaid
נייד,iPhone 15-9c8,
טלפון נייד,pi,128GB
tp-li,w7000,700_Router
32GB RM,Laptop-x2a,lENOVO tHINKpAD x1
מסך,Deld UltraSharp,
כרטיס סים,M6cro SIM,vERIZON
,Sennheiser HD 600-636,sTUDIO Headdphones
מקלדת,רייזרBlackWidow,---
Mbl Phn,OnePlu4 12,P8o Max
,Ethernet Cat6,Bl^e
כרטיס SIM,5GG,SIx Card
ראוטר,Csc SR,43@1/K9
mo,nPls 12,Ultra
0,סמסונג gALAXY s24,Unlockked
מקלדת,לוג'יטק mx kEYS,ta
נייד,רייזר Blade 15-xa9,
McBk Pr 16,lAPTOP,Cor0 i9
SM Crd,fSIM,
blue,16z_Ethernet Cat6,1able
lINEAR,Keywoard,לוג'יטק MX Keys
Ms,לוג'ייתק mx mASTER 3,
עכבר,לוג'יטקMXMaster3,Optical
כרטיס סים,Micro SIM,pREPAID
רייייזר bLADE 15,Core i9,00y_Laptop
מצלמת אינטרנט,Mxcrosoft LifeCam,1080p60
Verizzon,nANO sim,  
עכבר,,wi
ראוטר,Cilco ISR,R7000
אזניות,Sennheiser HDo600,Ov4r-Ear
ראוטר,סיסקו ISR,0
עכברר,wir,ppl Mgc Ms
Cbl,EthernetCat6,22m
סימ,Micro SIM,AT%T
144hZ,אזוס rog sWIFT,Monitor
Core i99,רייזר Blade 155,Lptp
מצלמת רשת,לוג'יטק C920,HD Pro
וובקאם_Webcam,347_Eאל ג'יato Facecam,4K
מחשב נייד,MacBookPro16,
טלפון נייד,סמסונג gALAXY s24,Pr Mx
כרטיס סים,eSIM-6cy,AT&T
743_Studio,Headphones,סוני WH-1c00XM5
Cbl,eTHERNET cAT6,
כבל,usb-c TO lIGHTNING,bLUE
טלפון נייד,Smsng Glxy S24,128GB
עכבר,SteelSeriesRival3,Wired
M&nitor,A6US ROG Swift,4s
ראוטר,סיסקו ISR,084_v2
סימ,Nn SM,T&T
Kybrd,לוג'יטק MX Keys-y26 165_Tactile,
,אזוס RO$ Swift Monitor,c08_Ultrawide
מסך,אל ג'י UltraGear,941_Ultrawide
Bl,cabl,HDMI 2.1
ראוטר,#REF!,AX55
Hdphns,sennh,Wiireless
heyboard,לוג'יטק MX Keys,אלחוטי
מחשב נייד,Lenovo ThinkPad X1,Core il
R70q0,rOUTER,Netgear NNighthawk
cabl,unknown,2m DisplayPort 1.4
מקלדת,Corsair K70,wIRELESS
sTUDIO,he,Sennhei&er HD 600
אוזניות,Sny WH-1000XM5,wi
כבלל,,unknown
אוזניות בלוטוס_Headphones,Sennheislr HD 600,Wirel1ss
ראוטר,,4331 tp-
מקלדת,לוג'יטק MX Keys,Lnr
מאוס,sTEELsERIES rIVAL 3,
מסך,144hZ,דלUltraSharp
,רייזר BlackWidow,rgb
מחשב נייד,Ma%Book Pro 16,32gb ram
Wbcm,Microsoft LifeCam,1080
Razdr BlackWidow,,RG@ Keyboard-659
מקלדת,לוג'יטק MX Keys-708,00a_Tactile
רוטר,TP-Link Archer,R7000-z29
אוזניות,סוני WH-1000XM5,---
מסך,דל UlltraSharp,Ultrawide
ראוטר,Netgear Nsghthawk,vv2
לפטופ,דל XPS 15-3z8,
וובקאם,Eאל ג'יatoFacecam,Sthdio
כרטיס סים,nANO sim,vERIZON
נתב,N8tgear Nighthawk,Rn000
כבל,260_USB-C to Lightning,Braided
סימ,mICRO sim,Verizon
כרטיס סים,eSIM-cac,5g
כרטיס סים,unknown,c23_AT&T
כבל,SB-C t אל ג'יhtnng,
מחשב,דל3XPS 15,Core i9-3z6
מסך גיימינג,,uLTRAWIDE
טלפון נייד,c51_Sennheiser HD 600,oVER-eAR
מחשב נייד,oled tOUCH,רייזר
מחשב נייד,lENOVO tHINKpAD x1,core 
סמארטפון,nPls 12,Ultra
טלפון נייד,Pixel 8-62x,Unlocked
Sony WH-10c0XM5,vr-r,011_Headphones
מוניטור,אל ג'י UltraGear-101,oled
מסך,---,14
הדפונס_Headphones,סוניWH-1000XM5,???
מקלדת,kEYCHRON q1,RvB
ראוטרר,  ,433
RGB,unknown,Keyboa4d
Rkuter,TPP-Link Archer,AX55
,nETGEAR nIGHTHAWK,vc
טלפון נייד,סמסונג Galaxy S24,Unlocked
ראוטרר,tp-l,AX5%
Kybrd,לוג'יטק mx kEYS,lin
מקלדת גיימינג,cORSAIR k70,Wi&eless
מקלדת,Kychrn Q1,Wrlss
מסך גיימינג,דל UltraSharp,oled
Ms,אפל Magic Mouse Ergonomic,
מוניטור4K,על ג'יי,
לפטופפ,a7a_דל XPS 15,32GB RAM
כרטיס סים,Mcr SM,55G
he,aIRpODS mAX,wIRELESS
ראוטרר,Csc SR,43n1/K9
מצלמת אינטרנט,Microsoft LiffeCam,sTUDIO
#REF!,סמסונג gALAXY s24,Pro MMax
rou,TP-Link Archer,f7000
#REF!,cABLE,Ethernet Cut6
כרטיס סים,Micro SIM,prep
מקלדת,לוג'יטק MX Keys,Ta0tile
ro,סיסקו ISR-035,433#/K9
כרטיס סים,Micro SIM,Prpd
ראוטר,netg,ax55
עכבר,SteelSeries Rival 3-5xz,Ergonomic
מחשב נייד,רייזר Blade 15-154,49c_M3 Max
כבל,HD&I 2.1,Braided
מסך מחשב,Mntr,3y8_Ultrawide
אוזניות,AirPods  Max,Over-^ar
כבל,DsplyPrt 1.4,Blue
כבל,,Bl
מכלדת,,Kybrd R*B
סים,,pr
טלפון נייד,Pixel 8,128gb
y1z_Ethernet Cat6,Blue,Cablee
מצלמת אינטרנט,#אל ג'יato Facecam,0
וובקאם,raz,1080p60
,Mouse,Ergonomac רייזר3DeathAdder
עכבר,לוג'יטק mx mASTER 3 wIRED,
אזניות,AirPodsMax,0y3_Over-Ear
Wbcm,ra,10
וובקם,Razzer Kiyo HDPro,
550ft,HDMI 2.i,#REF!
Hdphns,0,Over-Ea1
Mouitor,D2ll UltraSharp,Ulltrawide
נתב-b09,Netgear Nigmthawk,433t/K9
סים,Nano SIM-933,AT&T
,0,ta Keyboahd
ראוטר,Netgear Nighthawk,v2
אוזניות בלוטוס,AirPods Maj,סינון רעשים-7y8
כרטיס סים,micro,AT&T-65y
מחשב נייד,ma,Core i9
Kayboard,אל ג'יtch MX Kys,Tctl
מקלדת,Taactile,4x9_Corsair K70
מקלדת אלחוטית,RGGB,cORSAIR k70
ראוטרר,Netgear Nighthawkk,
8ouse,רייזר DeathAdder-740,Optical
אוזניות,9aa_Sennheiser HD 600,sTUDIO
,disp 2m,
0,Webcmm,רייייזר kIYO
SM Crd,Nano SmM,ATnT
מצלמה,eאל ג'יat,4K-220
לפטופפ,Lenovo ThinkPadnX1,OLED Touch
Mntr oled,סמסונגg Odyssey G9,  
מסך,סמסונג oDYSSEY g9,Ultrawidee
מאוס,StlSrs Rvl 3,Ergonomic-542
עכבר,SteelSeries Rival 3-651,Wireoess
סמ73_SIM Card,micro,Prpd
Mou!e,אפל Magiic Mouse,---
מצלמת אינטרנט,רייזר 4iyo 10,
,eSIM,5G
נייד,Bose QuietComfortt 45,nOISE cANCELLING
blue,ethe,Cable
וובקאם,Eאל ג'יato Facectm,4k
מחשב,lENOVO tHINKpAD x1,Corei9
לפטופפ,macb,OLED Tbuch
מוביל,OnnePlus 12,Unloc@ed
ראוטר,AX55,TP-Link Archer
Unlocked-1b4,Mobile Phone,Phn 15
נייד,סמסונג GGalaxy S24,128GB
Rtr,TP-Link Archer-xay,v2
,Keychrron Q1,wIRELESS
Tactile,key,Kybrd
קיבורד,Keychron Q1,0y3_Linear
unknown,M0crosoft LifeCam,
מצלמת אינטרנט,לוג'יטק c920,291_HD Pro
מוביל-531,IpHONE 15,128GB
כרטיס סים,---,Pre8aid
מחשב נייד,דל XhS 15,M3 Max-87c
מוניטור,אל ג'י uLTRAgEAR,OLED
סימ65_SIM Card,MicroSIM,pre
עכבר אלחוטי,steel,rgnmc
נתב,TP-Link Archer,AXX55
אוזניות,Bose QuietCComfort 45,אלחוטי
*onitor,,Uvtrawide
מקלדת,Corsair K70-x93,^GB
מחשב נייד,Lenovo ThinkPad X1 M3 Max,
מסך,אל ג'י ul,Ultrawide
ראוטר,,v2
מסך גיימינג,Ultrawide,אל ג'י UltraGear
מוביל-yz4,iPhone 15,Pro Max
,Bs QtCmfrt 45,  
Cabl6,us,50
קיבורד,Crsr K70,wIRELESS
נייד,OnePlus 12,178_Ultra
ראוטר,סיסקו ISR,AX555
מחשב נייד,Lenovo ThinkkPad X1,M3 Max
Cbl,Ethernet $at6,blue
אוזניות קשת,c29_AirPods Max,סיינון רעשיים-aca
,Cable-437,2M
מחשב נייד,ra,m3 mAX
רוטר,Netgear Nighthawk-3c1,4331//K9
עכבר,sTEELsERIES rIVAL 3,OOptical
מסך,אזוס,oled
סלולרי,Phn 15,128gb
מצלמת אינטרנט,,Microsoft LifeCam-y05 1080pi0
מוניטורר,על ג'יי uLTRAgEAR,OLED
טלפון נייד,on,uNLOCKED
מצלמת אינטרנט,רייזר Kiyo-9y6,HDPro
Netgear Nighthawk-a10,v2,rout
מקלדת,רייזר bLACKwIDOW,Taactile
אוזניות קשת,Bose QuietComfort 45,
עכבר,ra,Wired
,NetgearNighthawk,R7000 Ro4ter
עכבר,אפלMagicMouse,Opticcl
כרטיס סים,eSIM,veriz
RazerBlade15,233_32GB RAM,---
לפטפ2,Dll XPS 15,oled tOUCH
???,Elcato Facecam,4K
כבל,hdm,Blue
מחשב נייד,דל xps 15 m3 mAX,
כבל,SB-C t אל ג'יhtnng,
Wbcm,Microsoft LifeCam,Studio-4x0
מחשב נייד,cxb_רייזר Blade 15,M33 Max
,Rbzer DeathAdder,Wireed Mouse
קיבורד,Rzr BlckWdw,tACTILE
סימ,eSIM,Veriz@n
מוביל,Phn 15,pr
מסך,Samsun1 Odyssey G9,
טלפון נייד,AirPods Max,over-
מצלמת אינטרנט,HD Pro,Microsoft LifeCam
מסך,דלUltraSharp,
ראוטר,Csc SR,4331//K9
ראוטר,NetgearNighthawk,4331/K9
סים,,Vrzn
מוניטור,עזוסROGSwift,44K
ראוטר,,v2
Mowse,SteelSer8es Rival 3,Wirehess
dell ,Moni4or,144Hz
מסך,דל,144h
כבל USB,EthernetCat6,bLUE
עכבר,app,Wired
ראוטרר,סיסקו ISR,V2
unknown,senn,סינון רעשים
SM Crd,na,Vermzon
OLED Touch,Laptop,רייזר Blade 15
0,Micro SIM,5g
מסך,דל UltraShhrp,Ultrawide
מצלמת אינטרנט,לוג'יטקC920,1080p60
SM Crd,pre,Micro SIM
m3 mAX,Laptop,MacBook Pro 96
עכבר,optic,לוג'יטק MX Masterb3
מכלדת,Rzr BlckWdw,rgb
מסך מחשב,אזוס ROG Swift,oled
עכבר,x61_אפל Magic Mouse,EErgonomic
מחשב נייד,רייזר Blwde 15,
טלפון נייד,סמסונג gALAXY s24,Ultra
LenovoThinkPadX1,Lapttop,oled 
mo,SteelSeries&Rival 3,wi
SI2 Card,Micro SIM,---
Kebboard,רייייזר BlackWidow,RGw
עכבר,אפלMagicMouse,oPTICAL
מחשב נייד,MacBookPro16,OLEDTouch
מסך,Smsng dyssy G9,144hZ
מסך,4k,Mntr
ראוטר,cisc,V2
עכבר,ppl Mgc Ms,wIRELESS
---,Rzr BlckWdw,x19_RGB
מסך,סמסונג oDYSSEY g9,Ultrawide
Mo%se,אפל Magic Mouse,Optical
רוטר,Tx-Link Archer,r70
mo,סמסונגGalaxyS24,128gb
מקלדת,CorsairK70,
,AirPods Max-za6,Wrreless
סמארטפון8bile Phone,סמסונגGalaxyS24,uNLOCKED
Cabfe,dISPLAYpORT 1.4,Br4ided
Mntr,אזוס rog sWIFT,4k
Ms,ap,b97_Wired
מוביל,iPhone x5,128GBB
Hdphns,Sennheiser HD 6j0,955_סינון רעשים
5g,896_SIM Card,a9c_Micro SIM
כבל USB,et,Brdd
ax55,TP-Link Archeer,Rtr
כרטיס סים,NanoSIM,Verizon
Cisco  ISR,R7000,rout
עכבר,A#ple Magic Mouse,Wireq
מצלמת אינטרנט,Midrosoft LifeCam,HD Pro
כבל,eth,2m
???,אל ג'יUltraGear c97_Monitor,
0,Corssair K70,
K4yboard,Corsa$r K70,unknown
מאוס,אלחוטי,Mouse
וובקם,רייזר kIYO,SStudio
טלפון נייד,---,Unlockedd
מצלמת אינטרנט,,4K
OLED Toucch,LLaptop,5y7_Lenovo ThinkPad X1
טלפון נייד,sams,Unlocked
מקלדת גיימינג,kEYCHRON q1,Tactile-9b4
מסך,samsu,47
מחשב נייד,unknown,Core i9
טלפון נייד,iPhome 15,Unlockpd
  ,MacBook Pro 16,32GB RAM
מוביל,סמסונג gALAXY s24,pRO mAX
,---,7x7_2m Cable-4aa
כרטיס סים,eSIM,Prepai@
מוניטורר,Smsng dyssy G9,oled
מסך מחשב,,OLhD
טלפון נייד,סמסונג Galaxy S244,Pr Mx
אוזניות,AirPoods Max,Over-Ear
עכברר-y1y,רייייזר DeathAdoer,zz5_אלחוטי
Logitech MX Master 3,5b3_Ergonomic,Moouse
כבל,di,50
32GB RvM,דל X*S 15,---
אזניות,AirrPods Max,sTUDIO
אוזניות קשת-624,so,סינון רעשים-4y0
טלפון נייד,iPhone15,pRO mAX
מצלמת אינטרנט,Eאל ג'יatoFacecam,hd pRO
מחשב נייד,McBk Pr 16,32GB RAM
מקלדת,Corsaxr K70,lINEAR
ראוטר,Netgear Nightthawk,43
כרטיס סים,Nano SIM-za6,AT&T-835
,no,unknown
Hdphns,8irPods Max,vr-r
Ms,66y_SteelSeries Rival 3,Wirred
מקלדת,unknown,RGB
DisplayPort 1.4,Cbl,Blue-zb1
כבל,us,Bllue
,Cable Braided,Ethernet9Cat6
מקלדת,לוג'יטק mx kEYS,Tactile-c7a
Pixel8,mOBILE pHONE,Unlockked
eRGONOMIC,Mguse,לוג'ייתק MX Master 3
Mouke,עפל Magic Mouse,אלחוטי
מחשב נייד,32GB RAM,Dדל XPS 15
אוזניות בלוטוס,סוניי WH-1000XM5,אלחוטי-27a
ראוטר,TP-Link Archer,X55
Cbl,476_Ethernet Cat6,bLUE
מצלמת רשת-ccz,אל ג'יtch C920,1080
אוזניות קשת,סוני WH-1000XM5,
כרטיס SIM,,pre 648_Micro SIM
מצלמת אינטרנט,לוג'יטק c920,Studio
כבל,EthernetCat6,Blus
מצלמת אינטרנט,y0z_Microsoft LifeCam,HDD Pro
ראוטרר52b_Router,Netgear Nighthawk,V2
מחשב נייד,le M3 Max,
כבל,HDMI 2.1,Bl4e
Rovter,Nedgear Nighthawk,r7
Rvuter,סיסקו isr,R7000-y88
אוזניות,סוני WH-1000XM5,ya9_סינון רעשים
אוזניות,aIRpODS mAX,Wiireless
טלפון נייד,iPhone 15-b7c,128GB
מקלדת,Rzr BlckWdw,LLinear
אזניות,AirPods Max,yy2_עלחותיי
Rtr,Cissco ISR,r7000
כבל,us,Braid4d
כבלים,DisplayPort 1.4-660,Bnue
כבל,hdmi 2.1,062_Braided
טלפון נייד,MobilePhone,nlckd
SM Crd,nANO sim,5g
טלפון נייד,ipho,nlckd
כרטיס סים,Esim,5g
מוניטורר,OLEED,D@ll UltraSharp
אוזניות,unknown,Noise Canceeling
Braid2d,Cablee,Ethernet Catf
Kychrn Q1,wirel,333_Keyboard
מצלמת אינטרנט,eאל ג'יATO fACECAM,4K
מסך גיימינג,  ,4K
C6ble,ethernet Cat6,Braided
מקלדת,רייזר BlackWidow-300,tact
???,לוג'יטקC920,iD Pro
מחשב ניידד,LenovoThinkPadX1,32GB RA^
mo,Optical-cyy,לוג'יטק MX Master 3
נייד,Sסמסונג Galaxy S24,128gb
%K,אל ג'י UltraGear-z6y,Monitor
yable,DisplayPort 1.4,Braided
Cbl,eTHERNET cAT6,Bl
,Son* WH-1000XM5,Wאלחוטי Headphopes
מקלדת,RGB,keyc
מקלדת,keyc,
,mi,ATtT sim cARD
מסך,אזוסROGSwift,  
וובקאם,,HDPro
מסך,c87_סמסונג Odyssey G9,ultr
סמ-574,eSeM,5zx_AT&T
טלפון נייד,OnePlus12,Pro Max
עכברר,לוג'ייתקh MX Master 3,wIRED
,Ultrawide,Monxtor סמסונג oDYSSEY g9
מסך,sams,OLLED
טלפון נייד,iPxone 15,12
מסך,u44Hz,Moonitor
טלפון נייד,סמסונג Galaxy S24,pro m
מצלמת אינטרנט,Logitcch C920,5K
Rtr o2,,
אוזניות,aIRpODS mAX,wIRELESS
50FT,USB-C to Lightning-c3a,
כבל USB-x0c,,2m DisplayPort 1.4-y26
,eSIM,b43_5G SIM CCard
Ms,עפלMagicMouse,rgnmc
מחשב,LenovoThinkPadX1,OLfD Touch
עכבר,yz2_Ergonomic,לוג'יטק mx mASTER 3
טלפון נייד,OnePlus12,Unlocked
stee,Mouse,Optical
מחשב ניידד4top,y8a_רייייזר Blade 15,Cr 9
אוזניות,AirPods Max,wIRELESS
מצלמת אינטרנט,,sTUDIO
כרטיס סים,Micro SIM,Prepaid
מסך מחשב,Monitor-3c9,על ג'יי UltraGear
מוניטור,ult,asu
אוזניות,Bose QuietCom0ort 45,אלחוטי
mo,סמסונגGalaxyS24,ProMax
מקלדת,781_לוג'יטק MX Keys,
Ms,SteelSeries Rival!3,wired
,OhePlus 12 Mobile Phone-b73,128GB
Razer BlackWidow,key,wIRELESS
עכבר,SteelSeries Rival 3,Opticaq
Mouuse,Raazer DeathAdder,wIRELESS
עכבר,אפלMagicMouse,Wzreless
AT&T,SM,sim 
Rou!er,nETGEAR nIGHTHAWK,ax55
HD Pr,0ebcam רייזר kIYO,
DisplayPort1.4,Braaided,cab
L0ptop,len,m3 mAX
מצלמת רשת,לוג'יטק g920,4K
מסך,אל ג'י ltrGr,144Hz
מחשב נייד,רייזר bLADE 15,M3 Max
כרטיס סים,MicroSIM,AT&b
סים1bz_SIM Card,xz7_Nano SIM,pREPAID
כרטיס סים,VVerizon,Micro *IM
כרטיס סים,eSIM,A8&T
מצלמת אינטרנט,רייזר Kiyo,HD Pro-3y2
#REF!,Keychron Q1,Wirele*s
סימ0,Mcr SM,Verizon
,MacBook Pro 16,32GB RAM
Noise Cancelliing,Headphones,sen
טלפון נייד,סמסונג Galaxy Sh4,
הדפונס,sENNHEISER hd 600,Wi^eless
Rtr,Ntgr Nghthwk,A355
מסך גיימינג,---,OLfD
Roater,סיסקו ISRR,4331/K9
כרטיס סים,eSI*,5G
unknown,Naano SIM,Prepaid
מקלדת,logi,RGB
gX55,Rtr,TP-Link Archer-69a
ראוטר,X55,tp
MacBook Pro 16,Laptop,m3 ma
מחשב נייד,רייזר Bladek15,32GB RAM
SM Crd,Micro SIM,T&T
מצלמת אינטרנט,log,1080p60
MacBookPro16,lAPTOP,M3 Max
מצלמת אינטרנט,eאל ג'יa,Studio
כרטיס סים,eSIM,Prepaid
כרטיס סים,SM,Prepai%
טלפון נייד,OnePlus 12,uLTRA
מחשב נייד,mac,Cr 9
מחשב נייד,b84_רייזר Blade 15,Core i9-274
נייד,macbo,Cr 9
מסך,sa,144Hz
מקלדת,רייזר bLACKwIDOW,wi
כרטיס סים,NanoSIM,62y_Verizon
  ,Keyboabd,wIRELESS
סמ,MicroSIM,#T&T
סלולרי,bo,Wirel^ss
lOGITECH c920,wEBCAM,HD Pro
מסך,,OLLED סמסונג Odyssey G9-15a
Ms,SteelSeries Rival 3,wIRELESS
סמ,x24_eSIM,5g
RGB-3ba,רייזר BlackWidow,Keyboard
מחשב נייד,Dדל XPS 15,32GBRAM
לוג'ייתקC920,W9bcam,1080p60
mou,אפלMagicMouse,Ergonomic-1z3
???,C4sco ISR,ax55
ראוטר,TP-LinkArcher,vv2
wIRELESS,bOSE qUIETcOMFORT 45,Headphonnes
mo,אל ג'י UitraGear,144hZ
